Red,Yellow,Brown,Green,Blue,Orange
7,8,4,8,14,15
7,14,9,6,7,9
10,12,10,4,7,14
4,6,9,13,10,13
8,12,6,5,10,11
8,4,8,5,13,16
4,7,9,10,12,11
4,8,8,5,13,15
2,9,8,7,3,14,10
9,11,8,2,12,15
9,8,11,7,7,14
